op_side,op_type,op_name,full_op_name,op_occurrences,op_total_time(ms),op_avg_time(ms),total_proportion,subgraph,pid
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op126,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv1-Conv2d/gradConv2D/Conv2DBackpropFilter-op126,1875,381.677,0.203561,0.0602309,Default,134481
Host,MaxPoolGrad,MaxPoolGrad-op123,Gradients/Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/gradMaxPool/MaxPoolGrad-op123,1875,754.416,0.402355,0.119051,Default,134481
Host,ApplyMomentum,ApplyMomentum-op127,Default/optimizer-Momentum/ApplyMomentum-op127,1875,8.4239,0.00449275,0.00132934,Default,134481
Host,Conv2DBackpropInput,Conv2DBackpropInput-op121,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/gradConv2D/Conv2DBackpropInput-op121,1875,673.78,0.359349,0.106327,Default,134481
Host,MaxPoolGrad,MaxPoolGrad-op117,Gradients/Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/gradMaxPool/MaxPoolGrad-op117,1875,385.482,0.20559,0.0608313,Default,134481
Host,BiasAddGrad,BiasAddGrad-op114,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op114,1875,4.48837,0.0023938,0.000708292,Default,134481
Host,MatMul,MatMul-op112,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op112,1875,118.59,0.0632483,0.0187143,Default,134481
Host,MatMul,MatMul-op113,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op113,1875,141.807,0.0756305,0.022378,Default,134481
Host,ApplyMomentum,ApplyMomentum-op118,Default/optimizer-Momentum/ApplyMomentum-op118,1875,36.8395,0.0196477,0.00581349,Default,134481
Host,BiasAdd,BiasAdd-op95,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op95,1875,5.44987,0.0029066,0.000860022,Default,134481
Host,ReLU,ReLU-op93,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op93,1875,10.6699,0.00569064,0.00168378,Default,134481
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op120,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/gradConv2D/Conv2DBackpropFilter-op120,1875,772.479,0.411989,0.121902,Default,134481
Host,BiasAddGrad,BiasAddGrad-op102,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op102,1875,4.54545,0.00242424,0.0007173,Default,134481
Host,MatMul,MatMul-op104,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op104,1875,12.6433,0.00674307,0.00199518,Default,134481
Host,ApplyMomentum,ApplyMomentum-op110,Default/optimizer-Momentum/ApplyMomentum-op110,1875,4.74361,0.00252993,0.00074857,Default,134481
Host,BiasAddGrad,BiasAddGrad-op107,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op107,1875,4.42688,0.002361,0.000698588,Default,134481
Host,Conv2D,Conv2D-op87,Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/Conv2D-op87,1875,839.928,0.447961,0.132546,Default,134481
Host,Reshape,Reshape-op116,Gradients/Default/network-WithLossCell/_backbone-LeNet5/flatten-Flatten/gradReshape/Reshape-op116,1875,8.04461,0.00429046,0.00126949,Default,134481
Host,ApplyMomentum,ApplyMomentum-op105,Default/optimizer-Momentum/ApplyMomentum-op105,1875,2.68485,0.00143192,0.000423685,Default,134481
Host,MatMul,MatMul-op97,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op97,1875,14.2627,0.00760678,0.00225074,Default,134481
Host,ApplyMomentum,ApplyMomentum-op128,Default/optimizer-Momentum/ApplyMomentum-op128,1875,3.47628,0.00185402,0.000548577,Default,134481
Host,Reshape,Reshape-op90,Default/network-WithLossCell/_backbone-LeNet5/flatten-Flatten/Reshape-op90,1875,8.96756,0.0047827,0.00141513,Default,134481
Host,MatMul,MatMul-op91,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op91,1875,92.0347,0.0490851,0.0145236,Default,134481
Host,ReluGrad,ReluGrad-op119,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op119,1875,29.5081,0.0157376,0.00465655,Default,134481
Host,MaxPool,MaxPool-op89,Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/MaxPool-op89,1875,288.104,0.153655,0.0454645,Default,134481
Host,AssignAdd,AssignAdd-op100,Default/optimizer-Momentum/AssignAdd-op100,1875,5.42621,0.00289398,0.000856287,Default,134481
Host,ReluGrad,ReluGrad-op106,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op106,1875,20.6963,0.011038,0.003266,Default,134481
Host,MaxPool,MaxPool-op86,Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/MaxPool-op86,1875,687.993,0.36693,0.108569,Default,134481
Host,ReLU,ReLU-op85,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op85,1875,81.2627,0.0433401,0.0128237,Default,134481
Host,ApplyMomentum,ApplyMomentum-op115,Default/optimizer-Momentum/ApplyMomentum-op115,1875,2.69506,0.00143736,0.000425296,Default,134481
Host,ReLU,ReLU-op88,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op88,1875,29.3746,0.0156665,0.00463549,Default,134481
Host,MatMul,MatMul-op109,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op109,1875,31.0401,0.0165547,0.00489831,Default,134481
Host,ApplyMomentum,ApplyMomentum-op125,Default/optimizer-Momentum/ApplyMomentum-op125,1875,200.787,0.107086,0.0316854,Default,134481
Host,Conv2D,Conv2D-op84,Default/network-WithLossCell/_backbone-LeNet5/conv1-Conv2d/Conv2D-op84,1875,339.193,0.180903,0.0535266,Default,134481
Host,SparseSoftmaxCrossEntropyWithLogits,SparseSoftmaxCrossEntropyWithLogits-op101,Gradients/Default/network-WithLossCell/_loss_fn-SoftmaxCrossEntropyWithLogits/gradSparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits-op101,1875,8.93878,0.00476735,0.00141059,Default,134481
Host,ReLU,ReLU-op96,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op96,1875,8.30547,0.00442959,0.00131065,Default,134481
Host,BiasAdd,BiasAdd-op98,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op98,1875,3.6894,0.00196768,0.000582209,Default,134481
Host,ReluGrad,ReluGrad-op124,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op124,1875,124.819,0.0665699,0.0196971,Default,134481
Host,BiasAdd,BiasAdd-op92,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op92,1875,26.5877,0.0141801,0.00419569,Default,134481
Host,SparseSoftmaxCrossEntropyWithLogits,SparseSoftmaxCrossEntropyWithLogits-op99,Default/network-WithLossCell/_loss_fn-SoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits-op99,1875,12.5654,0.00670154,0.00198289,Default,134481
Host,MatMul,MatMul-op103,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op103,1875,13.7197,0.00731717,0.00216505,Default,134481
Host,ApplyMomentum,ApplyMomentum-op122,Default/optimizer-Momentum/ApplyMomentum-op122,1875,3.33301,0.0017776,0.000525969,Default,134481
Host,MatMul,MatMul-op94,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op94,1875,73.9878,0.0394602,0.0116757,Default,134481
Host,MatMul,MatMul-op108,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op108,1875,43.538,0.0232203,0.00687055,Default,134481
Host,ReluGrad,ReluGrad-op111,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op111,1875,11.472,0.0061184,0.00181035,Default,134481
